Afisare spectacole de teatru,2020.05.16.18.08.28,Thread-0
Afisare spectacole de teatru,2020.05.16.18.09.46,Thread-0
Afisarea tuturor spectacolelor de stand up,2020.05.16.18.11.29,Thread-0
Afisarea tuturor clientilor,2020.05.16.18.11.40,Thread-1
Cautare opera dupa nume,2020.05.16.18.12.01,Thread-2
Cautare opera dupa nume,2020.05.16.18.12.09,Thread-3
Cautare spectacol de stand-up dupa data,2020.05.16.18.12.53,Thread-0
Cautare spectacol de stand-up dupa ora,2020.05.16.18.13.10,Thread-1
Adaugare spectacol de opera,2020.05.16.18.13.58,Thread-2
Adaugare spectacol de teatru,2020.05.16.18.16.54,Thread-3
Adaugare spectacol de opera,2020.05.16.18.18.37,Thread-4
Afisarea tuturor operelor,2020.05.16.18.18.44,Thread-5
Adaugare client,2020.05.16.18.19.09,Thread-6
Cautare client dupa nume,2020.05.16.18.19.24,Thread-7
Cautare client dupa ID,2020.05.16.18.19.29,Thread-8
Stergere client dupa username,2020.05.16.18.19.37,Thread-9
Stergere spectacol de teatru ,2020.05.16.18.20.13,Thread-10
Schimbare ora spectacol de teatru,2020.05.16.18.20.31,Thread-11
Cautare client dupa nume,2020.05.16.18.21.30,Thread-12
Cautare client dupa nume,2020.05.16.18.22.12,Thread-13
Cautare spectacol de teatru dupa nume, data si ora,2020.05.16.18.22.12,Thread-14
Cautare client dupa nume,2020.05.16.18.22.12,Thread-15
Rezervare la spectacol de teatru,2020.05.16.18.22.13,Thread-16
Adaugare spectacol de teatru,2020.05.16.18.37.43,Thread-0
Afisare spectacole de teatru,2020.05.16.18.37.59,Thread-0
Afisarea tuturor operelor,2020.05.16.18.37.59,Thread-1
Afisarea tuturor spectacolelor de stand up,2020.05.16.18.37.59,Thread-2
Afisare spectacole de teatru,2020.05.16.18.40.23,Thread-0
Afisarea tuturor operelor,2020.05.19.14.06.28,Thread-0
Afisare spectacole de teatru,2020.05.19.14.06.36,Thread-1
